,appid,store_url,image_url,microtrailer_url,tags,game_name
0,730,https://store.steampowered.com/app/730/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/730/capsule_616x353.jpg?t=1749053861,https://video.fastly.steamstatic.com/store_trailers/730/612468/aa5a28c78f12232e6b6839034550c28b162fad3e/1748810724/microtrailer.webm?t=1696005467,"[""FPS"", ""Shooter"", ""Multiplayer"", ""Competitive"", ""Action"", ""Team-Based""]",Counter-Strike 2
2,578080,https://store.steampowered.com/app/578080/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/578080/3c8895a8ff87fb18d50ff17842511514d4200437/capsule_616x353.jpg?t=1764817633,https://video.fastly.steamstatic.com/store_trailers/578080/1437336701/9d244bd664c656dc435a2639995ad43d025b2755/1758181574/microtrailer.webm?t=1758185154,"[""Survival"", ""Shooter"", ""Battle Royale"", ""Multiplayer"", ""FPS"", ""PvP""]",PUBG: BATTLEGROUNDS
3,3564740,https://store.steampowered.com/app/3564740/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3564740/cb73cbbf6d2df928845135c63905ba5b7eddee71/capsule_616x353.jpg?t=1767796414,https://video.fastly.steamstatic.com/store_trailers/3564740/1540200151/3ec5b76fe3ff450addfb8eb229c1d3e1ae87d895/1763131518/microtrailer.webm?t=1763133427,"[""Open World"", ""Free to Play"", ""Multiplayer"", ""Action RPG"", ""Souls-like"", ""Online Co-Op""]",Where Winds Meet
5,2139460,https://store.steampowered.com/app/2139460/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2139460/b2aa988cd107465288636a31b6093bcd395b4e97/capsule_616x353.jpg?t=1767870672,https://video.fastly.steamstatic.com/store_trailers/2139460/658659/d6c272a0074e6e5a5843aa6428ee0a5374ad0efa/1750837294/microtrailer.webm?t=1754647996,"[""Free to Play"", ""Survival"", ""Multiplayer"", ""Open World Survival Craft"", ""Co-op"", ""Adventure""]",Once Human
6,1808500,https://store.steampowered.com/app/1808500/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1808500/bf3cf2254deb9697fe23e42932a14c60656a3007/capsule_616x353_alt_assets_0.jpg?t=1767868363,https://video.fastly.steamstatic.com/store_trailers/1808500/1688567022/8ecb330fb51867a492cf9436054ef4a9ed45a3af/1762957801/microtrailer.webm?t=1764583045,"[""Extraction Shooter"", ""Multiplayer"", ""PvP"", ""PvE"", ""Third-Person Shooter"", ""Post-apocalyptic""]",ARC Raiders
10,1245620,https://store.steampowered.com/app/1245620/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1245620/capsule_616x353.jpg?t=1767883716,https://video.fastly.steamstatic.com/store_trailers/1245620/468149/7d588828f80907ca97efdcb1e6ef72b4ce2b1d0d/1750650511/microtrailer.webm?t=1654109241,"[""Souls-like"", ""Open World"", ""Dark Fantasy"", ""RPG"", ""Difficult"", ""Action RPG""]",ELDEN RING
11,1086940,https://store.steampowered.com/app/1086940/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1086940/59827b3d0abf2f29adacfe72fdfd11059d6974e2/capsule_616x353.jpg?t=1765505948,https://video.fastly.steamstatic.com/store_trailers/1086940/637951/59ca25b847b0e471638d1e2474acf71b068d57f0/1750615003/microtrailer.webm?t=1702007645,"[""RPG"", ""Character Customization"", ""Choices Matter"", ""Turn-Based Combat"", ""Story Rich"", ""Dungeons & Dragons""]",Baldur's Gate 3
12,1771300,https://store.steampowered.com/app/1771300/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1771300/bcad55593058f54e54aee8b6714220e216cf9b0c/capsule_616x353.jpg?t=1766074183,https://video.fastly.steamstatic.com/store_trailers/1771300/1548518290/a8b287553a6017ea230a7fe8cd3bbb817cbf3950/1762856871/microtrailer.webm?t=1762876536,"[""RPG"", ""Medieval"", ""Open World"", ""Singleplayer"", ""Realistic"", ""First-Person""]",Kingdom Come: Deliverance II
13,1091500,https://store.steampowered.com/app/1091500/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1091500/a757b56d2078be8b09a04e2ad531f1fefafaa129/capsule_616x353.jpg?t=1766141193,https://video.fastly.steamstatic.com/store_trailers/1091500/798578/0d0c54b81225b2b7760d1a99b6c5950cb85a1767/1750617872/microtrailer.webm?t=1734434783,"[""Cyberpunk"", ""Open World"", ""Nudity"", ""RPG"", ""Singleplayer"", ""Story Rich""]",Cyberpunk 2077
14,2246340,https://store.steampowered.com/app/2246340/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2246340/a1df989a3b439e15171dc7144c1ce13c32abcae6/capsule_616x353.jpg?t=1766102696,https://video.fastly.steamstatic.com/store_trailers/2246340/1042235984/13810532c2dcbb9bc51318bf84c954a0044e42f6/1765505266/microtrailer.webm?t=1765526407,"[""Hunting"", ""Action"", ""Multiplayer"", ""Online Co-Op"", ""Co-op"", ""Character Customization""]",Monster Hunter Wilds
