,appid,store_url,image_url,microtrailer_url,tags,game_name
15,3513350,https://store.steampowered.com/app/3513350/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3513350/445b0dc0068184b499a0001188ee8794e6025681/capsule_616x353.jpg?t=1767597996,https://video.fastly.steamstatic.com/store_trailers/3513350/65137869/652274b4dfc0f255e468c02c48d5601b3468bfbe/1765958196/microtrailer.webm?t=1766608574,"[""Open World"", ""Anime"", ""Free to Play"", ""Action"", ""Adventure"", ""RPG""]",Wuthering Waves
16,3240220,https://store.steampowered.com/app/3240220/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3240220/4c8d7ce5142a528bdac68c093bd1bcc720e2baee/capsule_616x353.jpg?t=1765479644,https://video.fastly.steamstatic.com/store_trailers/3240220/478153532/b74a7322cbaece3aac7ef4f5a07d498d92d1633b/1765478654/microtrailer.webm?t=1765479639,"[""Open World"", ""Action"", ""Sexual Content"", ""Multiplayer"", ""Crime"", ""Mature""]",Grand Theft Auto V Enhanced
18,1903340,https://store.steampowered.com/app/1903340/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1903340/eccd7fa054e32bed3213fb92f6089bebd9978215/capsule_616x353.jpg?t=1766050625,https://video.fastly.steamstatic.com/store_trailers/1903340/876247/5c4709c3a98d932003a6b85bd5e4bfcd6a777e7a/1748581603/microtrailer.webm?t=1745478082,"[""Turn-Based Combat"", ""Story Rich"", ""Fantasy"", ""RPG"", ""Great Soundtrack"", ""Singleplayer""]",Clair Obscur: Expedition 33
20,1623730,https://store.steampowered.com/app/1623730/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1623730/c961ac047294838bfe382bf193ade5c64b19e573/capsule_616x353.jpg?t=1766121276,https://video.fastly.steamstatic.com/store_trailers/1623730/1468980435/a9fa32ad1a1c432d89b07ac9da9bee6de0bb0054/1765943351/microtrailer.webm?t=1765946111,"[""Open World"", ""Survival"", ""Creature Collector"", ""Multiplayer"", ""Open World Survival Craft"", ""Online Co-Op""]",Palworld
21,236390,https://store.steampowered.com/app/236390/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/236390/5783e91669463a35ec3510de429107c5913047f7/capsule_616x353.jpg?t=1766582455,https://video.fastly.steamstatic.com/store_trailers/236390/244203771/72cc68a187ea250d0d7560a1da6182cf21fcfbca/1765871059/microtrailer.webm?t=1765880369,"[""Free to Play"", ""Simulation"", ""Vehicular Combat"", ""Combat"", ""World War II"", ""VR""]",War Thunder
22,3527290,https://store.steampowered.com/app/3527290/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3527290/c6791f0f1b7b29f6304e283ac7a2cabc27c7eb0d/capsule_616x353.jpg?t=1764003551,https://video.fastly.steamstatic.com/store_trailers/3527290/1176038585/6d72fc0c830be241b8fbac5853579819b726ecc1/1762367066/microtrailer.webm?t=1762370965,"[""Multiplayer"", ""Online Co-Op"", ""Co-op"", ""Physics"", ""Exploration"", ""Adventure""]",PEAK
26,2807960,https://store.steampowered.com/app/2807960/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2807960/4f069f7804da1c10f8c728fea6459a4b9626a709/capsule_616x353_alt_assets_10.jpg?t=1765583938,https://video.fastly.steamstatic.com/store_trailers/2807960/1396276965/b786459af157b7e37dc4659b000ea09a8e667dc6/1763588534/microtrailer.webm?t=1763674195,"[""FPS"", ""Multiplayer"", ""Action"", ""Military"", ""Singleplayer"", ""Shooter""]",Battlefield™ 6
27,413150,https://store.steampowered.com/app/413150/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/413150/capsule_616x353.jpg?t=1754692865,https://video.fastly.steamstatic.com/store_trailers/413150/336433/0058de516bf7c46986ba1e81172ffd3c2ca6cad7/1750527541/microtrailer.webm?t=1754692862,"[""Farming Sim"", ""Pixel Graphics"", ""Multiplayer"", ""Life Sim"", ""RPG"", ""Relaxing""]",Stardew Valley
29,2622380,https://store.steampowered.com/app/2622380/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2622380/800a6d64a1685c303bf985f084fbf5c08ac2ae5c/capsule_616x353.jpg?t=1764808750,https://video.fastly.steamstatic.com/store_trailers/2622380/1830404979/7a90ccd4d6dcf63cec5c8c6a01fa66416d523b2a/1753457409/microtrailer.webm?t=1753977253,"[""Souls-like"", ""Online Co-Op"", ""Multiplayer"", ""Roguelike"", ""Singleplayer"", ""Co-op""]",ELDEN RING NIGHTREIGN
31,1973530,https://store.steampowered.com/app/1973530/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1973530/capsule_616x353.jpg?t=1767762486,https://video.fastly.steamstatic.com/store_trailers/1973530/181076444/20280b9143d3f0c28037acf74082a4b3378b67b8/1767760818/microtrailer.webm?t=1767762485,"[""Story Rich"", ""Lore-Rich"", ""Free to Play"", ""Turn-Based Combat"", ""Turn-Based Tactics"", ""Visual Novel""]",Limbus Company
33,294100,https://store.steampowered.com/app/294100/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/294100/capsule_616x353.jpg?t=1762524275,https://video.fastly.steamstatic.com/store_trailers/294100/189193/b88a55b0c4df1e292fa85455c5157a31ad1da17c/1750502942/microtrailer.webm?t=1539788136,"[""Colony Sim"", ""Base Building"", ""Survival"", ""Strategy"", ""Management"", ""Sandbox""]",RimWorld
35,1172470,https://store.steampowered.com/app/1172470/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1172470/1eab2d507fbc0cfbfac0a4e2da51edc19703f4e4/capsule_616x353.jpg?t=1762457261,https://video.fastly.steamstatic.com/store_trailers/1172470/2092425649/56581a291d71813a20db8be1f8c85dce376871ec/1762302138/microtrailer.webm?t=1762344559,"[""Free to Play"", ""Multiplayer"", ""Battle Royale"", ""FPS"", ""Shooter"", ""First-Person""]",Apex Legends™
37,648800,https://store.steampowered.com/app/648800/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/648800/capsule_616x353.jpg?t=1727184011,https://video.fastly.steamstatic.com/store_trailers/648800/472596/2b044f3af0177b0711f90c375be5a4b346c125e0/1750567254/microtrailer.webm?t=1655744106,"[""Survival"", ""Multiplayer"", ""Open World Survival Craft"", ""Co-op"", ""Crafting"", ""Open World""]",Raft
38,3241660,https://store.steampowered.com/app/3241660/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3241660/2cff5912c1add2e009eb1c1c630a47ac06cb81a1/capsule_616x353.jpg?t=1765552338,https://video.fastly.steamstatic.com/store_trailers/3241660/1884287699/bbab6854a8bc66274a77234cd49bf83f2d68076d/1761829575/microtrailer.webm?t=1761830780,"[""Horror"", ""Online Co-Op"", ""Multiplayer"", ""Comedy"", ""Co-op"", ""Physics""]",R.E.P.O.
39,2592160,https://store.steampowered.com/app/2592160/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2592160/fcfd39596c29e58f0d0c44ca56b8490d91fb3b76/capsule_616x353.jpg?t=1767817184,https://video.fastly.steamstatic.com/store_trailers/2592160/785131/02f08f87bb165f1791b6b248e0fbc62f39754716/1750934476/microtrailer.webm?t=1743631114,"[""Choices Matter"", ""Story Rich"", ""Sexual Content"", ""Nudity"", ""Superhero"", ""Singleplayer""]",Dispatch
40,2001120,https://store.steampowered.com/app/2001120/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2001120/5a3209f496e911ff2fa6dccd58c682c89632d09b/capsule_616x353.jpg?t=1763484567,https://video.fastly.steamstatic.com/store_trailers/2001120/854995/3730871b30a32f17510f03e0dc85913eccb0186b/1748810947/microtrailer.webm?t=1742494046,"[""Co-op"", ""Split Screen"", ""Local Co-Op"", ""Female Protagonist"", ""Action-Adventure"", ""Online Co-Op""]",Split Fiction
41,3489700,https://store.steampowered.com/app/3489700/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3489700/22469f910e2be326ea2a70d10601e3521c7b105d/capsule_616x353.jpg?t=1763566418,https://video.fastly.steamstatic.com/store_trailers/3489700/2090056095/b477a4d790ad0e1220c483843f85ce518cf9b2df/1750826285/microtrailer.webm?t=1749678668,"[""Female Protagonist"", ""Action"", ""Hack and Slash"", ""Sexual Content"", ""Souls-like"", ""Singleplayer""]",Stellar Blade™
43,3405690,https://store.steampowered.com/app/3405690/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3405690/90495945b9bb10bc8bee184ee8d3844e70c50d6b/capsule_616x353_alt_assets_0.jpg?t=1765797265,https://video.fastly.steamstatic.com/store_trailers/3405690/237661147/3bb5c19649877457ec2f75c9fd2c2909189d80d3/1757381480/microtrailer.webm?t=1761904809,"[""Football (Soccer)"", ""Sports"", ""Simulation"", ""Multiplayer"", ""Singleplayer"", ""Controller""]",EA SPORTS FC™ 26
44,3932890,https://store.steampowered.com/app/3932890/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3932890/b2f778ce89eabef7a6ce498cfa1731aa02e0c1ed/capsule_616x353.jpg?t=1764759405,https://video.fastly.steamstatic.com/store_trailers/3932890/2024561581/182bbf3b6c0ae13df96a0f0dcf3a1407d847c1c7/1764754852/microtrailer.webm?t=1764759403,"[""Psychological Horror"", ""Extraction Shooter"", ""Gun Customization"", ""FPS"", ""Looter Shooter"", ""PvP""]",Escape from Tarkov
46,553850,https://store.steampowered.com/app/553850/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/553850/68153c9e42e78199266ac9fcefa9104065f39c07/capsule_616x353.jpg?t=1767634300,https://video.fastly.steamstatic.com/store_trailers/553850/798372389/9b658b6ed4bd50f07fb2a70d8803603dbb835435/1756920793/microtrailer.webm?t=1756922665,"[""Online Co-Op"", ""PvE"", ""Third-Person Shooter"", ""Multiplayer"", ""Action"", ""Shooter""]",HELLDIVERS™ 2
48,3159330,https://store.steampowered.com/app/3159330/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3159330/2d5536f7e9f72d7844c59c5dc1416f7b756d3ad4/capsule_616x353.jpg?t=1767633876,https://video.fastly.steamstatic.com/store_trailers/3159330/945119520/7643be217d9d4d581bcecbfc6b109d269d2ced96/1758297532/microtrailer.webm?t=1758300923,"[""Action"", ""Adventure"", ""Open World"", ""Female Protagonist"", ""Ninja"", ""Stealth""]",Assassin’s Creed Shadows
50,108600,https://store.steampowered.com/app/108600/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/108600/capsule_616x353.jpg?t=1762369969,https://video.fastly.steamstatic.com/store_trailers/108600/426104/f029a1d7650463eb614db80fef79dd2aba95c7b8/1750498549/microtrailer.webm?t=1639992657,"[""Survival"", ""Zombies"", ""Open World"", ""Multiplayer"", ""Open World Survival Craft"", ""Sandbox""]",Project Zomboid
51,440,https://store.steampowered.com/app/440/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/440/capsule_616x353.jpg?t=1757348372,https://video.fastly.steamstatic.com/store_trailers/440/129304/a9d97ffaf28cac468369400c12abe442a7b688b2/1749861261/microtrailer.webm?t=1682961253,"[""Free to Play"", ""Hero Shooter"", ""Multiplayer"", ""FPS"", ""Shooter"", ""Action""]",Team Fortress 2
52,990080,https://store.steampowered.com/app/990080/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/990080/22dd5a52e39a1952e77da2bd4ee49cc2e5e1a972/capsule_616x353.jpg?t=1765473525,https://video.fastly.steamstatic.com/store_trailers/990080/539067/7a7ab093d789f59e804a9aed0d626823e005892a/1750604670/microtrailer.webm?t=1676412591,"[""Magic"", ""Open World"", ""Fantasy"", ""Singleplayer"", ""Adventure"", ""RPG""]",Hogwarts Legacy
53,1145350,https://store.steampowered.com/app/1145350/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1145350/65e1c51cf2950d70209d63e288d1c5ba3f86044b/capsule_616x353.jpg?t=1765831644,https://video.fastly.steamstatic.com/store_trailers/1145350/1067641820/dfba9c6a8b09f5bd9b323d6e699ac685065b93d3/1758924611/microtrailer.webm?t=1758942439,"[""Action"", ""Roguelike"", ""Roguelite"", ""Hack and Slash"", ""Mythology"", ""Action Roguelike""]",Hades II
55,230410,https://store.steampowered.com/app/230410/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/230410/00bda9de2f126d09dc6af09c556eb9a76c541956/capsule_616x353.jpg?t=1765508208,https://video.fastly.steamstatic.com/store_trailers/230410/160012719/eca41bedd450abcc4200c0e166e02068bef8a26a/1765393015/microtrailer.webm?t=1765508205,"[""Free to Play"", ""Looter Shooter"", ""Action RPG"", ""Third-Person Shooter"", ""Action"", ""RPG""]",Warframe
57,3167020,https://store.steampowered.com/app/3167020/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3167020/13a4a283a281d40eb1227eca39a6cdcf0e8f5d6d/capsule_616x353.jpg?t=1767856957,https://video.fastly.steamstatic.com/store_trailers/3167020/35421272/5f11b29c042e3414fd59310e529931fbbb009161/1761032419/microtrailer.webm?t=1761034361,"[""Adventure"", ""Action"", ""Extraction Shooter"", ""Top-Down Shooter"", ""Looter Shooter"", ""Shooter""]",Escape From Duckov
59,394360,https://store.steampowered.com/app/394360/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/394360/capsule_616x353.jpg?t=1765368663,https://video.fastly.steamstatic.com/store_trailers/394360/682731/bd7bbea629ccbef568dd3c4d8552ba6e05b3c0ed/1750525316/microtrailer.webm?t=1712235668,"[""Strategy"", ""World War II"", ""Grand Strategy"", ""War"", ""Historical"", ""Military""]",Hearts of Iron IV
60,1326470,https://store.steampowered.com/app/1326470/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1326470/capsule_616x353.jpg?t=1708624856,https://video.fastly.steamstatic.com/store_trailers/1326470/541725/76f298f949c4ae5b4257fa2056112f8d34285799/1750672622/microtrailer.webm?t=1677175226,"[""Survival"", ""Open World"", ""Multiplayer"", ""Co-op"", ""Survival Horror"", ""Base Building""]",Sons Of The Forest
63,1144200,https://store.steampowered.com/app/1144200/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1144200/capsule_616x353.jpg?t=1753984272,https://video.fastly.steamstatic.com/store_trailers/1144200/638244/12f8bb50a5d59521ffec9607bd2b6df0ae6b16a5/1750627363/microtrailer.webm?t=1702510541,"[""Tactical"", ""Realistic"", ""FPS"", ""Shooter"", ""Multiplayer"", ""Singleplayer""]",Ready or Not
64,1222140,https://store.steampowered.com/app/1222140/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1222140/capsule_616x353.jpg?t=1667468479,https://video.fastly.steamstatic.com/store_trailers/1222140/282775/c86acba0a15a3378984a05920f3513b23bba9147/1750644428/microtrailer.webm?t=1590429401,"[""Choices Matter"", ""Story Rich"", ""Multiple Endings"", ""Cinematic"", ""Singleplayer"", ""Emotional""]",Detroit: Become Human
66,227300,https://store.steampowered.com/app/227300/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/227300/5237101dc9efe4873c9be1804d4ed2619ad7bee4/capsule_616x353.jpg?t=1764266628,https://video.fastly.steamstatic.com/store_trailers/227300/455253/f717b44f949ed6c824778b30d516147bdaaad95a/1750482436/microtrailer.webm?t=1683632053,"[""Driving"", ""Transportation"", ""Simulation"", ""Open World"", ""Automobile Sim"", ""Realistic""]",Euro Truck Simulator 2
68,1030300,https://store.steampowered.com/app/1030300/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1030300/eb4f42b7595ecf3b9c9131aaadec283158c1019e/capsule_616x353.jpg?t=1764916587,https://video.fastly.steamstatic.com/store_trailers/1030300/970174968/f2c514c96548048dd1dca6ef500877916b75fe5a/1755841475/microtrailer.webm?t=1764916585,"[""Metroidvania"", ""Difficult"", ""Indie"", ""Great Soundtrack"", ""Souls-like"", ""2D""]",Hollow Knight: Silksong
71,1222670,https://store.steampowered.com/app/1222670/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1222670/capsule_616x353.jpg?t=1765476116,https://video.fastly.steamstatic.com/store_trailers/1222670/505594/b1b46cf5154636489657aa8e6323e4524b55a510/1750644574/microtrailer.webm?t=1666105085,"[""Life Sim"", ""Free to Play"", ""Character Customization"", ""Building"", ""Simulation"", ""Romance""]",The Sims™ 4
74,570,https://store.steampowered.com/app/570/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/570/capsule_616x353.jpg?t=1766010373,https://video.fastly.steamstatic.com/store_trailers/570/116737/313addee2092d0bd6f538d164610061ea8bbe79c/1749859757/microtrailer.webm?t=1762820639,"[""Free to Play"", ""MOBA"", ""Multiplayer"", ""Strategy"", ""eSports"", ""Team-Based""]",Dota 2
77,814380,https://store.steampowered.com/app/814380/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/814380/capsule_616x353.jpg?t=1762888662,https://video.fastly.steamstatic.com/store_trailers/814380/322401/63cf1fdf9c16536f04b08a5b1939909f7a99a340/1750586450/microtrailer.webm?t=1603837979,"[""Souls-like"", ""Difficult"", ""Action"", ""Singleplayer"", ""Ninja"", ""Stealth""]",Sekiro™: Shadows Die Twice - GOTY Edition
82,526870,https://store.steampowered.com/app/526870/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/526870/290c413f4075e43a5d2e106dcbbaa036b3271621/capsule_616x353.jpg?t=1749717464,https://video.fastly.steamstatic.com/store_trailers/526870/753593/79f874ad17faa4ceebc26380fc79a1adafcec294/1750544336/microtrailer.webm?t=1725980382,"[""Base Building"", ""Automation"", ""Open World"", ""Multiplayer"", ""Crafting"", ""Co-op""]",Satisfactory
88,2651280,https://store.steampowered.com/app/2651280/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2651280/cb8da9b3e99cf7362cd88c10a0544b7fe892ccad/capsule_616x353.jpg?t=1763569811,https://video.fastly.steamstatic.com/store_trailers/2651280/820778/e9b06e98d15624caa4e550f4a6e54067e1dcc995/1746999933/microtrailer.webm?t=1738262051,"[""Action"", ""Superhero"", ""Open World"", ""Singleplayer"", ""Adventure"", ""Action-Adventure""]",Marvel's Spider-Man 2
91,2183900,https://store.steampowered.com/app/2183900/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2183900/db611b4424c2b7799c943c0424ca82227300fd69/capsule_616x353.jpg?t=1764091362,https://video.fastly.steamstatic.com/store_trailers/2183900/2127125737/6b9198519ae0d3c083889c74f0c241502b3728ca/1764068189/microtrailer.webm?t=1764083223,"[""Warhammer 40K"", ""Action"", ""Co-op"", ""Third-Person Shooter"", ""Multiplayer"", ""PvE""]","Save 60% on Warhammer 40,000: Space Marine 2"
98,1551360,https://store.steampowered.com/app/1551360/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1551360/capsule_616x353.jpg?t=1746471508,https://video.fastly.steamstatic.com/store_trailers/1551360/442268/66eddb8cdf196bf7c8d9bb8e8895bd7f60133cc1/1750700745/microtrailer.webm?t=1647525311,"[""Racing"", ""Open World"", ""Driving"", ""Multiplayer"", ""Automobile Sim"", ""Realistic""]",Forza Horizon 5
