appid,n_rows,churn_rate,model,train_acc,train_roc_auc,train_precision,train_recall,train_f1,train_pos_rate,test_acc,test_roc_auc,test_precision,test_recall,test_f1,test_pos_rate
413150,81315,0.33642,LightGBM,0.603563,0.633279,0.431297,0.559927,0.487266,0.436758,0.598106,0.620356,0.424714,0.549077,0.478954,0.434914
230410,48982,0.204279,Logistic,0.692178,0.73145,0.358117,0.6396,0.459152,0.364859,0.700827,0.73946,0.367823,0.646677,0.468926,0.35909
1086940,105187,0.299067,Logistic,0.607042,0.629539,0.389912,0.555988,0.458371,0.426446,0.609754,0.633713,0.393278,0.561666,0.462626,0.427132
108600,83054,0.287054,LightGBM,0.620803,0.663998,0.39289,0.588686,0.47126,0.430113,0.611462,0.651372,0.382852,0.57781,0.460548,0.433207
526870,40282,0.30994,LightGBM,0.607944,0.649185,0.408985,0.595214,0.484831,0.451078,0.592776,0.615986,0.390011,0.556668,0.45867,0.442348
1091500,119802,0.257667,LightGBM,0.638443,0.653682,0.367173,0.557279,0.442679,0.391075,0.630733,0.644719,0.357128,0.541302,0.430337,0.390551
394360,41971,0.188463,LightGBM,0.721587,0.743664,0.358746,0.606037,0.450699,0.318382,0.708636,0.723031,0.340473,0.582807,0.429837,0.322573
2807960,300088,0.15778,LightGBM,0.726563,0.765659,0.323358,0.670944,0.436397,0.32738,0.721517,0.75577,0.316496,0.659662,0.42776,0.328868
3513350,37631,0.179878,LightGBM,0.745117,0.767564,0.372343,0.608126,0.461884,0.293782,0.722997,0.735159,0.339482,0.570901,0.425778,0.302511
578080,193853,0.17309,LightGBM,0.707522,0.739826,0.323562,0.632455,0.428107,0.338331,0.705166,0.733829,0.320505,0.627924,0.424392,0.339119
3241660,340625,0.219902,LightGBM,0.659494,0.674701,0.336162,0.562655,0.420871,0.368062,0.657982,0.6717,0.334355,0.560443,0.418837,0.368602
1245620,108874,0.265821,Logistic,0.613968,0.61158,0.344493,0.500885,0.408223,0.386503,0.613456,0.61359,0.345915,0.509848,0.41218,0.39178
294100,30831,0.23311,Logistic,0.595808,0.629895,0.304702,0.572621,0.397753,0.438047,0.597373,0.622934,0.303498,0.561196,0.393947,0.431166
227300,92151,0.227171,Logistic,0.601587,0.623561,0.298171,0.556816,0.388372,0.424227,0.606098,0.623461,0.301357,0.556723,0.391042,0.419673
3240220,138626,0.219338,LightGBM,0.662606,0.661354,0.330511,0.524769,0.405579,0.34826,0.654043,0.640347,0.31612,0.4963,0.38623,0.344334
1808500,252277,0.18666,LightGBM,0.690003,0.683535,0.307146,0.526173,0.387876,0.319769,0.688541,0.678211,0.303526,0.516458,0.382345,0.317603
1551360,53036,0.21723,LightGBM,0.681979,0.670833,0.343576,0.509493,0.4104,0.322146,0.668552,0.641316,0.320816,0.47092,0.381639,0.318816
3405690,36162,0.17405,LightGBM,0.633378,0.713755,0.273665,0.668918,0.388421,0.425421,0.623393,0.688346,0.259915,0.629865,0.367981,0.421817
730,272473,0.184881,LightGBM,0.621521,0.636806,0.256772,0.55273,0.350649,0.397976,0.619084,0.629055,0.253723,0.546203,0.346493,0.398
553850,148012,0.139239,LightGBM,0.671064,0.731601,0.244215,0.650391,0.355096,0.370816,0.664764,0.717343,0.235937,0.628821,0.343129,0.371111
1973530,43061,0.084206,LightGBM,0.768201,0.817549,0.219982,0.688383,0.333417,0.263528,0.77383,0.789575,0.218333,0.653793,0.327348,0.252061
