appid,n_rows,churn_rate,model,train_acc,train_roc_auc,train_precision,train_recall,train_f1,train_pos_rate,test_acc,test_roc_auc,test_precision,test_recall,test_f1,test_pos_rate
3527290,31721,0.699001,HistGB,0.716464,0.69252,0.72334,0.96251,0.82596,0.930131,0.703388,0.650595,0.715589,0.955355,0.81827,0.933176
1222140,64366,0.648681,HistGB,0.662045,0.63881,0.664305,0.968355,0.788018,0.945584,0.65675,0.615246,0.661306,0.965154,0.784848,0.946714
2592160,150629,0.594527,HistGB,0.695933,0.716564,0.699547,0.856355,0.77005,0.727791,0.689836,0.707231,0.695889,0.84959,0.765096,0.725851
2001120,109621,0.562949,HistGB,0.672573,0.729461,0.687661,0.766529,0.724956,0.627509,0.659932,0.711697,0.677284,0.756299,0.714614,0.628643
1903340,119542,0.546661,HistGB,0.613198,0.655298,0.621724,0.74682,0.678554,0.656656,0.598185,0.636664,0.610505,0.731905,0.665716,0.65536
1145350,51398,0.410814,Logistic,0.619875,0.715633,0.523749,0.823822,0.640376,0.646189,0.623249,0.709242,0.526709,0.817192,0.640557,0.637354
3564740,93627,0.323475,LightGBM,0.719977,0.785556,0.552414,0.707953,0.620586,0.414561,0.714515,0.781556,0.545996,0.696715,0.612215,0.412742
3167020,96654,0.487222,LightGBM,0.651397,0.710456,0.669986,0.560705,0.610494,0.407757,0.639698,0.694497,0.65387,0.553408,0.599459,0.412343
3932890,41232,0.303817,LightGBM,0.713021,0.797106,0.519248,0.747031,0.612652,0.437077,0.693464,0.772469,0.49697,0.719872,0.588005,0.44016
990080,57746,0.407145,LightGBM,0.659819,0.69745,0.57796,0.609581,0.59335,0.429409,0.640173,0.67854,0.553345,0.603232,0.577213,0.443896
440,44206,0.319821,LightGBM,0.714568,0.766478,0.54719,0.623342,0.582789,0.364325,0.707872,0.757646,0.537359,0.623055,0.577043,0.370844
1222670,30553,0.348804,Logistic,0.663775,0.720044,0.514789,0.626745,0.565277,0.424638,0.669121,0.721083,0.520786,0.646341,0.57681,0.43299
2139460,48140,0.270627,LightGBM,0.731512,0.799338,0.502933,0.674631,0.576264,0.363004,0.73307,0.793879,0.505199,0.671144,0.576467,0.359576
570,204029,0.193169,LightGBM,0.810878,0.82565,0.508178,0.65138,0.570936,0.247606,0.808999,0.823803,0.50431,0.653261,0.569202,0.250208
814380,34859,0.367107,LightGBM,0.615986,0.69481,0.484601,0.723872,0.580549,0.548392,0.606856,0.674626,0.475707,0.696366,0.565266,0.537292
1771300,80174,0.424252,LightGBM,0.607976,0.653252,0.533039,0.612767,0.570129,0.487706,0.602806,0.641984,0.527771,0.606203,0.564274,0.487309
1144200,98213,0.322768,LightGBM,0.686,0.721207,0.511507,0.603864,0.553862,0.381049,0.683755,0.718304,0.508508,0.603312,0.551868,0.382935
648800,34646,0.489638,Logistic,0.591716,0.629054,0.596359,0.514185,0.552232,0.422175,0.59062,0.625512,0.596194,0.50781,0.548464,0.417027
1030300,238619,0.33551,LightGBM,0.640258,0.698025,0.474169,0.662919,0.552878,0.469064,0.636053,0.693587,0.46966,0.655946,0.547388,0.46859
1326470,59319,0.456481,LightGBM,0.604488,0.64907,0.567927,0.558305,0.563075,0.448741,0.589683,0.628344,0.551659,0.540251,0.545896,0.447067
2622380,35200,0.294801,LightGBM,0.689276,0.749767,0.480819,0.676343,0.562062,0.414702,0.674432,0.727668,0.462496,0.644819,0.538647,0.410938
236390,45835,0.30948,LightGBM,0.665458,0.716855,0.469871,0.631477,0.538817,0.415921,0.66303,0.710525,0.46686,0.625661,0.534719,0.414749
1172470,71856,0.237767,Logistic,0.714077,0.759707,0.433513,0.660228,0.523373,0.362118,0.715628,0.764466,0.435824,0.665789,0.526803,0.363206
2246340,157833,0.263139,LightGBM,0.66504,0.731835,0.417825,0.693935,0.521594,0.437022,0.664175,0.733235,0.417529,0.699049,0.5228,0.440587
2183900,49544,0.267722,LightGBM,0.650259,0.744106,0.412744,0.724625,0.525923,0.470014,0.641235,0.732133,0.403674,0.712401,0.515337,0.4725
2651280,31527,0.307705,LightGBM,0.659054,0.714147,0.461001,0.638191,0.535315,0.425994,0.640977,0.686984,0.438073,0.590722,0.503073,0.414843
3489700,78701,0.268586,LightGBM,0.66898,0.709899,0.422161,0.630396,0.505681,0.401064,0.66457,0.694506,0.415407,0.610927,0.494543,0.395019
1623730,53036,0.332397,Logistic,0.59885,0.621976,0.420383,0.546054,0.475048,0.431767,0.605581,0.626117,0.428447,0.558707,0.484983,0.433446
3159330,32102,0.222946,LightGBM,0.736069,0.766464,0.436035,0.6269,0.514331,0.320509,0.716711,0.726341,0.406205,0.585196,0.479542,0.32129
